"","V1"
"1",NaN
"2",6.72380527969477
"3",5.60869803368716
"4",3.8742864901869
"5",3.24631320478532
"6",2.32743176755787
"7",1.70058149266974
"8",1.18195585847819
"9",0.4030890552627
"10",5.30412152340246e-05
