"","V1"
"1",NaN
"2",6.72440366836679
"3",5.60927056508494
"4",3.8743739580528
"5",3.24675715718335
"6",2.32786689888265
"7",1.70112475229324
"8",1.18249740392722
"9",0.403260761083749
"10",2.65102652000795e-05
