"","x"
"1",1.87025139966266e-148
"2",5.7808912473699e-46
"3",5.89614047215396e-52
"4",0.0449929288127988
"5",0.100164315786499
"6",0.074082728747378
"7",0.0501592858085554
"8",NA
"9",2.29801591961391e-08
"10",7.11321751691249e-05
