"","x"
"1",-0.151325680092056
"2",-0.194095470441681
"3",-0.236783493988006
"4",-0.334002906480801
"5",-0.394216786681354
"6",-0.464793502315572
"7",-0.575976030621972
"8",-0.767634839042237
"9",NA
"10",NA
