"","x"
"1",NA
"2",-0.111684537929325
"3",-0.157764101453054
"4",-0.191357063675934
"5",-0.273783016763805
"6",-0.353990837249202
"7",-0.428973155794248
"8",-0.524319285055581
"9",-0.719873402705853
"10",NA
