"","dt","N","dx","Nj"
"1",0.001,357.142857142857,0,32.2326835353989
"2",0.000805440233197716,443.413232195948,0.0139484682600737,35.9724512007055
"3",0.000842364535852264,423.976606258141,0.0125552962588597,35.1641250947563
"4",0.000961326471358249,371.510478264739,0.00621880443829446,32.8845987664105
"5",0.000936288968086811,381.445119312507,0.00798191906205452,33.3280262199484
"6",0.000961450294261108,371.462632311458,0.00620884093361171,32.8824489355466
"7",0.000961961443299742,371.265251461407,0.00616754057143185,32.8735786871025
"8",0.000962735826376192,370.966621744169,0.00610443884593887,32.8601538550485
"9",0.000962415128068895,371.090236143182,0.00613065020459538,32.8657115678588
"10",0.000995638866420143,358.707227277073,0.00208833272728682,32.3042936493261
