"","dt","N","dx","Nj"
"1",0.001,357.142857142857,0,32.2326835353989
"2",0.00091605880326394,389.86892093646,0.00916194284723821,33.6995140727084
"3",0.000922219357264026,387.264542139305,0.00881933346324844,33.58509390361
"4",0.000926401923203922,385.516100730549,0.00857893214777215,33.5080623116291
"5",0.000929522409513601,384.221890174485,0.00839509323869599,33.4509303336956
"6",0.000931665796948965,383.337950488721,0.00826645045052801,33.411854143738
"7",0.000932335617227198,383.062548017862,0.00822583629625594,33.3996702646735
"8",0.000931688055694117,383.328792249872,0.00826510401059075,33.4114490511629
"9",0.000940415338973434,379.771407740667,0.00771911011882629,33.253729026909
"10",0.001,357.142857142857,0,32.2326835353989
