,V1,V2,V3,V4,V5,V6
1,41,0.863809863,12.575,12.575,12.5760219,12.5760219
2,42,0.42026878,8.675,8.675,8.677059268,8.677059268
3,43,0.371056263,7.6,7.6,7.602489643,7.602489643
4,44,0,0,5.578501317,5.578501317,5.578501317
5,45,0.036664657,4.675,4.580285442,4.580285396,4.580285396
6,50,0.115603944,0.925,0.925,0.925716331,0.925716331
7,52.5,0.115749186,0.235,0.235,0.235387124,0.235387124
8,55,0.024311023,0.055,8.70E-20,3.75E-21,3.75E-21
9,57.5,0.014354089,0.015,3.38E-101,0,0
10,60,0.016458106,0.02,1.54E-126,0,0
