,V1,V2,V3,V4,V5,V6
1,47.5,0.208662786,2.645,2.645,2.643932425,2.643932425
2,48,0.294357773,2.84,2.84,2.83986117,2.83986117
3,48.5,0.190884253,1.875,1.875,1.87529969,1.87529969
4,49,0.176157542,1.485,1.485,1.48525285,1.48525285
5,49.5,0.166349438,1.155,1.155,1.15358523,1.15358523
6,50,0.132154881,0.695,0.695,0.696058849,0.696058849
7,50.5,0.13052713,0.5,0.5,0.499875722,0.499875722
8,51,0.12866257,0.345,0.345,0.345307797,0.345307797
9,51.5,0.12935692,0.24,0.24,0.240225179,0.240225179
10,52,0.126671366,0.15,0.15,0.149276635,0.149276635
