"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2.87496326330249e-137,8.51384362611867e-48,2.54182106791692e-53,0.244999999999449,8.21856080962314e+22,0.700000000211283,0.149999999999892,0.102586948678166,0.107047249413526,0.115925777930634
"2",2.87496326330249e-137,8.51384362611867e-48,2.54182106791692e-53,0.244999999999449,1.29999999999983,0.700000000211304,0.149999999999913,0.102586948678145,0.107047249413505,0.115925777930613
"3",2.87496326330249e-137,8.51384362611867e-48,2.54182106791692e-53,0.244999999999449,1.69600528859893e+59,0.700000000211404,0.150000000000013,0.102586948678045,0.107047249413405,0.115925777930514
"4",8.36111027104074e-59,1.5024337038895e-35,1.37897428378695e-31,4.74499999999966,1053327406060497,2875287379868525056,12592708930731486,0.10258694867791,0.10704724941327,154.019918627708
"5",4.97397002427468e-57,2.89557575552538e-34,4.48557359568651e-31,1668736234119275264,20558777387419996,0.700000000211318,0.149999999999928,0.10258694867813,0.10704724941349,2148.39699863625
"6",4.78053754601674e-46,2.85142261465845e-28,1.34587173127494e-26,0.000200568438397664,0.0075479988618119,225353.669172602,0.0298328197124107,0.102586948677612,0.107047249412972,0.11592577793008
"7",1.29904417114497e-47,5.46559799778834e-29,2.32530612666653e-27,8.99808692762238e-05,0.00734707297559867,0.0147070475956674,0.0299849430113932,0.102586948678145,0.107047249413505,0.115925777930613
"8",2.87496326330249e-137,8.51384362611867e-48,2.54182106791692e-53,0.244999999999449,1.79999999999986,3.70000000021133,5.64999999999994,7.89741305132188,10.3929527505865,15.3840742220694
"9",4.43138992950121e-82,4.24226593048077e-42,9.9565469972009e-42,1.97691323299764e+116,5.85234804567519e+105,9.16958334971404e+139,0.150000000000098,0.10258694867796,0.10704724941332,1.93830305233448e+67
"10",4.16805209982622e-53,3.7989470601523e-31,4.49040431161546e-30,0.000361868385468006,0.00696879419178886,0.0137543026814853,0.0300283946829136,0.102586948677192,0.107047249412553,0.115925777929661
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
