N / impvol,vol1,vol2,vol3,vol4,vol5,vol6,vol7,vol8,vol9,vol10
10,0,0.3,0.41,0.575,0.805,1.115,1.525,2.04,3.55,5.352875701
20,9.28E-30,5.8,4.91,3.67722E+11,5.55684E+11,6.19079E+11,8.08143E+11,1.00676E+12,0.55,0.147124299
30,3.37E-30,5.8,4.91,4.075,6.0712E+13,1.42374E+14,1.83633E+14,2.46274E+14,0.55,0.147124299
40,1.05E-29,3.97809E+18,4.91,4.075,3.305,2.51842E+15,3.45177E+15,4.91312E+15,1.20483E+12,0.147124299
50,2.40E-31,1.11E+20,3.56062E+18,4.075,3.305,4.98179E+15,9.90262E+15,1.50907E+16,4.75772E+12,0.147124299
100,2.86E-30,5.8,2.34751E+11,4.075,3.305,2.615,140765.7566,327804.199,0.034730435,0.147124299
150,4.60E-30,0.000897663,0.000914712,0.002707116,0.002662771,0.005900946,0.007590278,0.010772559,0.024431258,0.147124299
200,6.16E-30,0.00097289,0.000629115,0.00250988,0.002290794,0.005496516,0.007072864,0.010204513,0.024250867,0.147124299
250,1.34E-31,0.000923705,0.001105075,0.00171116,0.003567432,0.00466348,0.007260942,0.010383537,0.024508475,0.147124299
300,0,0.3,0.41,0.575,0.805,1.115,1.525,2.04,3.55,5.352875701
350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
