,V1,V2,V3,V4,V5,V6
1,43,0,0.2,0,0,0
2,44,0.174769351,0.3,0.3,0.29851247,0.299387608
3,45,0.167671025,0.41,0.41,0.410496683,0.411763553
4,46,0.16273197,0.575,0.575,0.575980103,0.577877557
5,47,0.158977244,0.805,0.805,0.804823498,0.807904882
6,48,0.156360973,1.115,1.115,1.116539562,1.121082456
7,49,0.155536849,1.525,1.525,1.525922782,1.532905274
8,50,0.156333637,2.04,2.04,2.041043379,2.051023164
9,52.5,0.14532715,3.55,3.55,3.550321491,3.574652286
10,55,0,5.15,5.352875701,5.352875701,5.5
