,V1,V2,V3,V4,V5
1,43,0,2.120061079,0,0
2,44,0.28375873,7.798675502,7.185143984,5.814349129
3,45,0.249756213,7.006414911,6.39230311,5.162688884
4,46,0.115800603,3.920893792,3.274059701,2.598267757
5,47,0.150605814,4.711525834,4.081912298,3.263285149
6,48,0.115607627,3.916558015,3.269592211,2.594586971
7,49,0.114808107,3.898601777,3.251084734,2.579338071
8,50,0.113587765,3.871217725,3.222841791,2.556066218
9,52.5,0.114094495,3.882585107,3.234568417,2.565729057
10,55,0.038210977,2.331420766,1.519973215,1.141678081
