"","V1"
"1",0.322653765338897
"2",0.307658384807465
"3",0.439634901583992
"4",0.550307607319991
"5",0.704304723031946
"6",0.89227303298595
"7",1.20202961283701
"8",1.1432254541668
"9",NaN
"10",NaN
