"","V1"
"1",0.201858764383277
"2",0.212311020978169
"3",0.340753766678501
"4",0.454581160991754
"5",0.611230223446485
"6",0.805441420007813
"7",1.1083563163022
"8",1.0965045592098
"9",NaN
"10",NaN
