"","V1"
"1",2.79535509920405
"2",2.95640703383334
"3",1.74410765088218
"4",1.40982831876086
"5",1.10777838609931
"6",0.705394350510397
"7",0.50888640464632
"8",0.349271182272995
"9",0.244402568545887
"10",0.150512642551741
