"","V1"
"1",1.70852796410046e-05
"2",3.20660928584629e-05
"3",2.20930127872028e-05
"4",0.265488945630683
"5",1.86346589268841
"6",3.5825202058635
"7",5.82710741340687
"8",NaN
"9",10.471121511434
"10",15.3972302767103
