"","V1"
"1",12.9299509238745
"2",8.99405180106832
"3",7.3985382927519
"4",NaN
"5",4.55088774093732
"6",0.952073255780421
"7",0.241441011512045
"8",3.44897329911952e-05
"9",1.48062369868069e-05
"10",1.87870148956762e-05
