"","V1"
"1",12.9718775017656
"2",9.01211229471717
"3",7.41309852299448
"4",NaN
"5",4.55327786748006
"6",0.958218229189278
"7",0.24643070212734
"8",0.00114290667387757
"9",0.000915478224674358
"10",0.000954765551319428
