"","V1"
"1",12.9312960852733
"2",8.99469720339281
"3",7.39921700368903
"4",NaN
"5",4.55090824995247
"6",0.952756861325495
"7",0.241543112945181
"8",1.71529332239982e-05
"9",7.37274398411549e-06
"10",9.35122888651014e-06
