"","V1"
"1",0.0226362953601677
"2",0.0440390349226818
"3",0.0296292843109681
"4",0.557164896885731
"5",2.12854816070721
"6",3.84186257214725
"7",6.13123691932788
"8",NaN
"9",10.5646278973704
"10",15.5989305144135
