Strike,Contract Name,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
90,JNJ170421P00090000,0.03,0,0.03,0,0.00%,26,487,32.81%
95,JNJ170421P00095000,0.03,0.03,0.07,-0.01,-25.00%,1,629,30.76%
100,JNJ170421P00100000,0.05,0.05,0.11,-0.02,-28.57%,2,"2,299",27.05%
105,JNJ170421P00105000,0.11,0.09,0.13,-0.01,-8.33%,36,"1,201",22.02%
110,JNJ170421P00110000,0.23,0.22,0.23,0.01,4.55%,27,"4,077",18.36%
115,JNJ170421P00115000,0.52,0.54,0.55,-0.02,-3.70%,54,"4,412",15.59%
120,JNJ170421P00120000,1.54,1.51,1.55,0.03,1.99%,516,"5,031",13.73%
125,JNJ170421P00125000,3.95,3.85,3.95,0.61,18.26%,23,791,12.48%
130,JNJ170421P00130000,8,7.4,8.2,-11.73,-59.45%,15,15,14.60%
175,JNJ170421P00175000,59.25,58.05,60.4,0,0.00%,12,0,109.44%
