"","x"
"1",14.2426429547809
"2",5.93844924280563
"3",5.49567146353335
"4",NA
"5",0.33690102818077
"6",2.50920644716493
"7",1.56369641811898
"8",1.97571257684981e-17
"9",5.44636523261611e-104
"10",2.32236810733331e-135
