"","x"
"1",0.0147335239516786
"2",0.02483043406844
"3",0.0295778528896774
"4",NA
"5",1.28537704236283e-07
"6",0.14179179712416
"7",0.0969692841272541
"8",6.46426769156207e-17
"9",7.72160673983902e-102
"10",9.7111871072003e-133
