"","x"
"1",7.75033247777292
"2",6.45570077579455
"3",6.73649977893495
"4",NA
"5",3.59809490409521e-06
"6",9.6228111187786
"7",6.16110156629261
"8",3.72782432780833e-16
"9",1.77987702899329e-102
"10",6.70844994199417e-134
