"","x"
"1",0.751900960803886
"2",0.642038131259677
"3",0.635692585037667
"4",0.576260263834197
"5",0.521901806804668
"6",0.412479099528147
"7",0.336728891127171
"8",0.26650441764029
"9",0.199063086857777
"10",0.14657764320298
