,puts.Strike,puts.Last,puts.Chg,puts.Bid,puts.Ask,puts.Vol,puts.OI
VZ170519P00043000,43,0.19,0,0.19,0.21,11,4171
VZ170519P00044000,44,0.29,0.01999998,0.28,0.32,1,162
VZ170519P00045000,45,0.43,0.060000002,0.4,0.42,3,772
VZ170519P00046000,46,0.55,0.120000005,0.56,0.59,2,256
VZ170519P00047000,47,0.76,0.060000002,0.79,0.82,69,796
VZ170519P00048000,48,1.17,0.17999995,1.1,1.13,47,2696
VZ170519P00049000,49,1.59,0.24000001,1.51,1.54,173,2147
VZ170519P00050000,50,2.06,0.19999993,2.02,2.06,11,1133
VZ170519P00052500,52.5,3.6,0.54999995,3.45,3.65,23,325
VZ170519P00055000,55,5.25,-0.3499999,5.05,5.25,11,16
