,calls.Strike,calls.Last,calls.Chg,calls.Bid,calls.Ask,calls.Vol,calls.OI
VZ170421C00041000,41,13.63,0,11.55,13.6,28,0
VZ170421C00042000,42,7.56,0,6.9,10.45,10,33
VZ170421C00043000,43,7.2,0,7.45,7.75,1,117
VZ170421C00044000,44,4.33,0,0,0,1,0
VZ170421C00045000,45,4.6,-0.4000001,4.6,4.75,4,224
VZ170421C00050000,50,0.94,-0.15000004,0.92,0.93,465,23901
VZ170421C00052500,52.5,0.24,-0.060000017,0.23,0.24,853,14973
VZ170421C00055000,55,0.07,0,0.05,0.06,94,8812
VZ170421C00057500,57.5,0.02,-0.01,0.01,0.02,8,4035
VZ170421C00060000,60,0.01,0,0,0.04,10,3807
