,puts.Strike,puts.Last,puts.Chg,puts.Bid,puts.Ask,puts.Vol,puts.OI
VZ170421P00037000,37,0.03,0,0.02,0.03,2,23
VZ170421P00038000,38,0.11,0,0.05,0.06,10,40
VZ170421P00040000,40,0.04,-0.010000002,0.04,0.05,78,2497
VZ170421P00045000,45,0.25,0.040000007,0.23,0.26,99,5734
VZ170421P00050000,50,1.77,0.18999994,1.79,1.81,67,6369
VZ170421P00052500,52.5,3.69,0.32000017,3.6,3.8,50,9938
VZ170421P00055000,55,5.63,0.4300003,5.55,5.75,12,1447
VZ170421P00057500,57.5,7.5,-1.1199999,7.4,7.65,5,900
VZ170421P00060000,60,10.35,0.40000057,10.45,10.7,31,378
VZ170421P00065000,65,15.82,3.2399998,13.55,17.9,2,4
